LAW L1,L1,LAW L2,L2,Class,
71463,325,-476849,203,2,
70862,319,-486879,304,2,
70343,314,-490109,336,2,
70956,320,-498265,417,2,
70484,315,-502751,462,2,
70476,315,-504602,481,2,
71100,321,-502559,460,2,
70690,317,-497780,413,2,
70680,317,-497544,410,2,
70473,315,-501175,446,2,
70719,317,-504481,480,2,
70778,318,-504458,479,2,
70411,314,-491298,348,2,
70460,315,-487974,314,2,
70440,315,-488680,322,2,
70426,314,-493303,368,2,
70581,316,-494839,383,2,
70546,316,-491298,348,2,
70295,313,-486123,296,2,
70286,313,-482093,256,2,
70367,314,-478286,218,2,
70285,313,-471783,153,2,
70771,318,-460120,36,2,
70799,318,-458201,17,0,
70355,314,-457595,11,0,
71631,326,-457139,6,0,
75985,370,-456237,2,0,
85592,466,-456687,2,0,
84674,457,-458259,17,0,
82986,440,-457960,14,0,
81087,421,-456759,2,0,
79977,410,-456933,4,0,
79883,409,-458404,19,0,
79961,410,-458510,20,0,
79977,410,-458701,22,0,
80152,412,-458746,22,0,
80103,411,-458757,22,0,
80348,414,-458734,22,0,
80104,411,-458718,22,0,
79981,410,-458700,22,0,
80191,412,-458755,22,0,
80094,411,-458795,23,0,
79973,410,-458752,22,0,
80135,412,-458800,23,0,
80363,414,-458760,22,0,
79503,405,-458756,22,0,
80298,413,-458726,22,0,
79894,409,-458773,22,0,
79937,410,-458796,23,0,
80394,414,-458790,23,0,
79769,408,-458789,23,0,
79539,406,-458772,22,0,
79927,409,-458791,23,0,
79939,410,-458809,23,0,
80423,414,-458826,23,0,
95309,563,-458823,23,0,
206564,1676,-459089,26,3,
